data_hora,medicamento,localizacao,farmacia,titulo,preco,preco_numero,categoria_preco,link,relevante,preco_maximo,alerta
2026-06-08 10:22:49,loratadina,flores manaus,drogasil,loratadina 10mg 12 comprimidos neo química genérico,"R$ 8,99",8.99,baixo,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search,1,,
2026-06-08 10:22:49,loratadina,flores manaus,drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search,0,,
2026-06-08 10:22:49,loratadina,flores manaus,drogasil,loratamed loratadina 10mg 12 comprimidos,"R$ 5,45",5.45,baixo,https://www.drogasil.com.br/loratamed-10mg-12-comprimidos.html?origin=search,1,,
2026-06-08 10:22:49,loratadina,flores manaus,drogasil,loratamed loratadina 1mg/ml xarope 100ml,"R$ 22,59",22.59,medio,https://www.drogasil.com.br/loratamed-1mg-xarope-100ml.html?origin=search,0,,
2026-06-08 10:22:49,loratadina,flores manaus,drogasil,loratadina 1mg/ml xarope 100ml cimed genérico,"R$ 21,40",21.4,medio,https://www.drogasil.com.br/loratadina-100mg-cimed-genericos-xarope-com-100ml.html?origin=search,0,,
2026-06-08 10:22:49,loratadina,flores manaus,drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-100mg-cimed-genericos-xarope-com-100ml.html?origin=search,0,,
2026-06-08 10:22:49,loratadina,flores manaus,drogasil,histadin loratadina 10mg 12 comprimidos,"R$ 18,79",18.79,baixo,https://www.drogasil.com.br/histadin-10mg-com-12-comprimidos.html?origin=search,0,,
2026-06-08 10:22:49,loratadina,flores manaus,drogasil,neo loratadin loratadina 10mg 12 comprimidos,"R$ 18,79",18.79,baixo,https://www.drogasil.com.br/neo-loratadin-10mg-12-comprimidos.html?origin=search,0,,
2026-06-08 10:23:30,loratadina,compensa manaus,drogasil,loratadina 10mg 12 comprimidos cimed genérico,"R$ 8,99",8.99,baixo,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,1,,
2026-06-08 10:23:30,loratadina,compensa manaus,drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,0,,
